"Card Number","Card Number"
"Card Owner","Card Owner"
"Expiration Date","Expiration Date"
"Card Verification Number","Card Verification Number"
"Installments","Installments"
"What is this?","What is this?"
"Choose a number of installments","Choose a number of installments"
"Authorize","Authorize"
"Authorize and capture","Authorize and capture"
"Production","Production"
"Test","Test"
"Minimum amount for installment","Minimum amount for installment"
"Maximum number of installments","Maximum number of installments"
"Edit Your Cart","Edit Your Cart"
"Forgot an Item?","Forgot an Item?"
