"Card Number","Número do cartão"
"Card Owner","Titular do cartão"
"Expiration Date","Data de validade"
"Card Verification Number","Código de verificação do cartão"
"Installments","Parcelas"
"What is this?","O que é isso?"
"Choose a number of installments","Selecionar o número de parcelas"
"Authorize","Autorizar"
"Authorize and capture","Autorizar e capturar"
"Production","Produção"
"Test","Sandbox"
"Minimum amount for installment","Valor mínimo de parcela"
"Maximum number of installments","Número máximo de parcelas"
"Edit Your Cart","Alterar o Carrinho"
"Forgot an Item?","Esqueceu algum item?"
